sme_id,event_date,event_type,severity,title,summary,source,sentiment_score,impact_score,verified
0142,2024-11-14,departure,critical,CTO Departure Detected,LinkedIn shows CTO Sarah Johnson departed. No replacement hire detected. Sales Director also left within 2-week window.,LinkedIn API,-0.85,14,TRUE
0142,2024-11-05,departure,critical,VP Sales Departure,VP Sales Mike Chen moved to competitor. Lost 2 major clients in past 30 days.,LinkedIn API,-0.72,8,TRUE
0142,2024-10-20,customer_loss,warning,Major Client Loss,Lost Enterprise Corp ($180K annual contract). Client cited delivery delays and quality concerns.,CRM Data,-0.65,6,TRUE
0531,2024-11-08,departure,warning,Account Manager Departure,Senior Account Manager David Brown left to become freelance consultant.,LinkedIn API,-0.55,5,TRUE
0531,2024-10-28,departure,warning,Account Manager Exit,Jessica Williams departed for competitor agency.,LinkedIn API,-0.52,4,TRUE
0531,2024-10-15,reputation,warning,Review Score Decline,Trustpilot score declined from 4.2 to 3.1 stars over 90 days. Multiple complaints about service quality.,Trustpilot API,-0.68,7,TRUE
0445,2024-11-10,regulation,critical,Hemp Ban Legislation,Parliamentary committee recommends hemp products ban. Vote scheduled Dec 1. Company derives 42% revenue from hemp products.,Gov.uk Scraping,0.15,15,TRUE
0672,2024-10-22,regulation,warning,Potential Regulatory Impact,Company may be affected by upcoming hemp legislation. Monitoring parliamentary discussions.,News Aggregation,0.05,8,TRUE
0287,2024-11-02,payment_delay,warning,Supplier Payment Delays,3 suppliers reporting late payments (avg 47 days vs normal 30 days). Overdraft facility 85% utilized.,Trade Data,-0.48,6,TRUE
0287,2024-10-18,inventory,info,Inventory Buildup,Inventory levels up 32% QoQ. May indicate slowing sales or supply chain overcorrection.,Banking Data,-0.25,3,TRUE
1812,2024-10-25,departure,warning,Head Chef Departure,Head Chef Mark Roberts left to start own restaurant. Known for signature dishes.,LinkedIn API,-0.42,5,TRUE
1812,2024-11-08,reputation,info,Positive Review Trend,Google reviews trending positive (4.3 to 4.5 stars) over past 60 days.,Google Places API,0.55,2,TRUE
0234,2024-11-01,contract,info,Major Contract Win,Secured £2.4M contract for residential development in Manchester.,Companies House,0.75,8,TRUE
0456,2024-10-20,expansion,info,Store Expansion Announced,Opening 3 new retail locations in Q1 2025. Hiring 25+ staff.,Press Release,0.68,6,TRUE
0789,2024-10-30,contract,info,Export Deal Secured,Signed agreement to export to 5 European markets. €1.2M annual value.,Trade Publication,0.72,7,TRUE
0823,2024-11-12,award,info,Industry Recognition,Won Best Green Energy Solution Award 2024.,Industry Association,0.80,3,TRUE
